curp,id_viaje,origen,destino
AVUM730222FSFDRM56,v-000046,,
PAPG620811MCIVKW97,v-000047,,
ROVD040401FMGWUB85,v-000047,,
SASJ581027FTGPRE52,v-000048,,
GUCV811110MMMXGW40,v-000048,,
GAJJ740913MCQVWV41,v-000048,,
GALA031128FCTEBQ32,v-000048,,
BOGL010801MPAFXL35,v-000049,,
BASJ070124MJYTNJ94,v-000049,,
ACPM800701FMGTYS19,v-000049,,
RABJ001013MSYUMX82,v-000049,,
SUGI010113FSJXUD09,v-000050,,
HESY000929FCSIDM60,v-000050,,
GOGH030224MSKKAE09,v-000051,,
GALS990613FCJUAZ68,v-000051,,
COMA981004MSINFG56,v-000051,,
CARM801109FNNWEB65,v-000051,,
PARS781016FVXGMH83,v-000052,,
CRMN060721FVDOJG15,v-000052,,
ZASA620419MYKNNV34,v-000053,,
AVCC010303MTCWRX92,v-000053,,
RIPF730229MGFNZD30,v-000053,,
ROMR820305FDVSLP64,v-000053,,
GUHC010613FCQVNX27,v-000054,,
VIJT791120FTXQEJ98,v-000054,,
CAAR060110MMHJQC13,v-000054,,
BAGH040712MMAHQP91,v-000055,,
ALMM040809FALJSY89,v-000055,,
ESBA810516MPCUCR99,v-000056,,
ZAVA550206FTCDPF63,v-000056,,
GAOE031017MQQXCA74,v-000056,,
CUDE020518MCSSXM41,v-000057,,
ROPA990127MTNRML74,v-000057,,
MUMM000221FHCNZP90,v-000057,,
DIVE031125FSBHBC59,v-000057,,
CHBC010107MNKSAN54,v-000058,,
RIVD860411FVVYQW49,v-000058,,
VADC040811MNQXHY75,v-000059,,
MORC030302FZCDXT96,v-000059,,
TANH530808MGOHVE45,v-000060,,
PEAM040102MTCHSY92,v-000060,,
ORPA041129FGKKAL55,v-000060,,
OYMJ020210MHCKHJ33,v-000061,,
LAGE030930FGKKHZ92,v-000061,,
SORM030801FVZWIT00,v-000062,,
LOCA000305FMBVQZ44,v-000062,,
ANAM000824FPOHBT28,v-000062,,
SABR030806MMTRYQ30,v-000063,,
MEMM541111MQPJEF32,v-000063,,
RUMG640624FSZOYH91,v-000064,,
ESBE000305MCSOKD97,v-000064,,
AMLR030303MZPYER29,v-000065,,
BELJ040120FVZTUR11,v-000065,,
RIHD030314MNDDFX62,v-000065,,
ROSJ020320MNSNGS07,v-000066,,
FLBR751019FMMVGJ30,v-000066,,
DOGC800222MACKGB99,v-000066,,
BALD610107MSEKBM21,v-000066,,
BACR050518MCNPAC51,v-000067,,
GASL630813MVKXNN72,v-000067,,
ALBG040620FBWJGL14,v-000068,,
MULM980614FGRYPO16,v-000068,,
GACC040730FTJWHT34,v-000069,,
GOZM020711FBZJOL97,v-000069,,
ROMM551129FQCANT05,v-000069,,
RACA041119MAFDMS95,v-000069,,
COAB030926FCROSP04,v-000070,,
SAAC810525MCXIVU80,v-000070,,
VAZL580922MNWDUF58,v-000070,,
ROVM040107FOAGDG66,v-000071,,
HENC650306MNJQMU98,v-000071,,
RACD010326FGYBXU24,v-000072,,
HEGJ020308FGBSRL61,v-000072,,
ROPR040325FOHLRB96,v-000073,,
PASM041020FCOSGE29,v-000074,,
GUCJ780822MBSFGV21,v-000074,,
ANHE540216FVAXYF21,v-000074,,
GOBF590421MSBHHZ96,v-000075,,
TEDL030702FCQLLZ84,v-000075,,
VAAR770104FCLYVH43,v-000075,,
MOGA030907FCNQNI53,v-000076,,
SARY970513FNJRCQ31,v-000077,,
OLDS750328MTMCDB27,v-000077,,
MAMC810705FOVODD50,v-000077,,
RAMR010230FZQOYQ11,v-000077,,
ARCS630128MNTKLW46,v-000078,,
PEMJ010724MQFMOC77,v-000078,,
CASS050824FGTTCA17,v-000078,,
MEAR020227FSKAVX14,v-000079,,
RARJ020620MBCNQL61,v-000079,,
NUJH000120MVFAGA36,v-000079,,
LULP021115MMEQXM30,v-000079,,
GUCR010730MCKTIU94,v-000080,,
ROCL030811FTTAMT88,v-000080,,
ZAGJ040914MTYFAP96,v-000080,,
BARS060703FBZCQR74,v-000081,,
FLHL050319FHBCAT41,v-000081,,
CACM590912FYPWII07,v-000081,,
MACJ790323FCEFLE72,v-000082,,
HEGE030620FYAMMA35,v-000082,,
ALRR820504FTUWPF24,v-000082,,
BELL010221FCQLVV50,v-000082,,
TRMG021104MCBIRL34,v-000083,,
HEBM000804FQGFCX98,v-000083,,
DEMC020716MTDWHR83,v-000083,,
LERC030113MOCNRM83,v-000084,,
RAML010522FCEYGB42,v-000084,,
PASN000710FMWTAA84,v-000084,,
DETE540402MMMQXO17,v-000084,,
MOLM040116FSFXWB87,v-000085,,
CHRK011121FNQHAQ67,v-000085,,
RUCG820609MSBJYK01,v-000085,,
LOAB000326MNTEEJ80,v-000086,,
SICB030219FMEMFP12,v-000086,,
LUMH051011MSZSFE97,v-000086,,
URHM040426MTXPXR94,v-000086,,
SAJK790209FQPFWZ46,v-000087,,
AGBM990407MCJUOU90,v-000088,,
BEGA050920FDPEXI61,v-000088,,
ALHF021008MOUVLK53,v-000088,,
ARGS990118MATOWB19,v-000089,,
SAPI030321MZQQBY32,v-000090,,
GAFJ040221MNWBCG55,v-000090,,
BUSL990324FMTZJR67,v-000090,,
PAGA041012FCQHOV89,v-000091,,
DEHF790411MQYDGI10,v-000091,,
ISPY021018FCOGRO17,v-000092,,
HERE040920MZRVGU41,v-000092,,
GAHI070808MGKNZS13,v-000093,,
CORA750215FCHKRA42,v-000093,,
VAMF540823MCCEFF89,v-000094,,
HEVG600120MBUTMS56,v-000094,,
FRSF010118MQQARN84,v-000095,,
REGV020113MAIPWF63,v-000095,,
RECA020312FYGSJB91,v-000095,,
SARR010804MNBBZI71,v-000095,,
ITGE010225MJGFAN93,v-000096,,
RAAC001119MCJKJK75,v-000096,,
GOCJ020405MYUXSY54,v-000096,,
LURA560811FAJHKP27,v-000097,,
MORH610401MVYSKD66,v-000098,,
FESA050528FMGEFY24,v-000098,,
MOPS020522FJAALQ76,v-000098,,
VEHR041025MGIYHT03,v-000098,,
ROEP820911FPQLHF50,v-000099,,
HELF040408MTPQOQ85,v-000099,,
ARAO030108MNFYTL36,v-000099,,
MEHH010503MGSWNG89,v-000100,,
TAPF860107MHXNKY41,v-000101,,
LAHE000101FHIPDE32,v-000101,,
SACB031111FYHEGM82,v-000101,,
RACS030302MDMRGN08,v-000102,,
LOLG020213FNSROU35,v-000102,,
CAGD030726FGBCHK69,v-000102,,
ELMW030606MTIFAN51,v-000103,,
ORCK990316FOUAGM65,v-000104,,
PESG031014FCGCTD12,v-000104,,
CEGR020901FCWATA70,v-000104,,
BAKM041114FJANJY66,v-000104,,
GAGD000202MBVFTO43,v-000105,,
TOHN770301FZHQTD71,v-000105,,
BEVR830607FPQHXL15,v-000105,,
DEAV790411MSZGZI16,v-000106,,
GUVM030615FGXPXO47,v-000106,,
DECJ040225MDBQQM50,v-000107,,
ARRA030311MSPBUW66,v-000107,,
MUMR020101MCRGGE72,v-000107,,
GAVA040514MQLDTZ90,v-000107,,
GAGN010822FQBKLT08,v-000108,,
PAPI010913MMNWAX42,v-000108,,
TOMW040114MNBUXP69,v-000109,,
CAMA831112FZYIDA90,v-000109,,
ORMY051021FVMEXM67,v-000109,,
MESF020815MBWIGY76,v-000110,,
PEMA000803MBDXSF02,v-000110,,
GORS040417FCGFYB07,v-000110,,
ESBM021126MCFBHY40,v-000111,,
ROMM030601FCTHCB83,v-000111,,
MOGJ800906MGMQNG26,v-000111,,
DIGD021113MNGXHU26,v-000111,,
SODD551114FGYUZV93,v-000112,,
ALVM010713FBZGIT01,v-000112,,
GORE020221MSCIBZ67,v-000113,,
QUSD740505FCHILG10,v-000113,,
UBTO780107MTKCUW84,v-000114,,
JAAM581005FTHGWD05,v-000114,,
COGD050101MTZKXM40,v-000114,,
FEGG050924FDGFOM41,v-000115,,
GUPN690925FOOOZK98,v-000115,,
MORB860312FCVSQO64,v-000115,,
SEMM040307FOBXAT00,v-000115,,
UCVJ591122MCBNZZ02,v-000116,,
ZAHA020822FQFCTY43,v-000116,,
ACVM050901FCBAXM89,v-000116,,
BORF030407FJVXLM14,v-000117,,
AVCA030813FCKAWI08,v-000117,,
PICS031101FOAWBK58,v-000117,,
CAMH780926MMHFFI88,v-000117,,
GOSM030227FCESEX51,v-000118,,
LOSM010501FNFFSU89,v-000118,,
GOVJ000922MQJCAT00,v-000118,,
HERR620401MSPWRI89,v-000119,,
BLRE040105FBEUET60,v-000119,,
PORM600310FAUHFL67,v-000119,,
HEMA040212FCYMLY20,v-000119,,
MATC990925MGPWCV78,v-000120,,
MOSN010506FCBMFS99,v-000120,,
BRVP040704FSQGJU32,v-000121,,
CAIM990514FTKLVC75,v-000121,,
POMM020403MZCYRJ81,v-000121,,
COCM740308MTHNCE19,v-000122,,
AROP791103FTMMXH21,v-000122,,
SOMF020711MMMZLP21,v-000122,,
RESC010304FSRGFU31,v-000122,,
ESDI620202FDODJK79,v-000123,,
SATR020726FCVIQA49,v-000123,,
LUCA800520FQQJSI01,v-000124,,
GAOO010101MCZXHW49,v-000124,,
VASJ030503MNZOBE02,v-000125,,
GURD030720FVFCMV40,v-000125,,
CRLB600911FTBNBQ18,v-000125,,
ZARS021024MMVDYH78,v-000126,,
ARAC790621FBTNYS37,v-000127,,
VABP020716MSSUGB96,v-000127,,
HECW051128MCYCRR25,v-000127,,
SARM050417FYXTRL61,v-000128,,
FLML010821MSEYKM84,v-000128,,
DAMM060409FVDBPT66,v-000128,,
GARP030123FCWTBY85,v-000128,,
LESE990120FMPXDX38,v-000129,,
BAMG011129MNPCIY43,v-000129,,
PARH800622MAJOYA99,v-000130,,
VEFV020329MZLCGL07,v-000130,,
PEZG020903FGSOKF65,v-000130,,
BADJ020926MYXSLY08,v-000130,,
FECJ051020MTZWVW18,v-000131,,
BERC020830MTEIQQ46,v-000131,,
PLAM010923MBJLIM04,v-000132,,
VAVM040206MNMPUH44,v-000132,,
BERM010327FGAFME72,v-000133,,
GAAK040813FMSNJL76,v-000133,,
BRCJ041110MBZQNP23,v-000134,,
CACJ010704MTBIMK73,v-000134,,
DICB620526FCSLLN74,v-000135,,
ROVM730514MTNYYH06,v-000135,,
GATR020817MBQYYF25,v-000135,,
TOPJ021111MBALWJ40,v-000135,,
ROSM980223FSSEOO14,v-000136,,
GULI040708MBOLOV69,v-000136,,
BOAF800229MHFRTU53,v-000137,,
GOBA030630MNQRWP00,v-000137,,
MACA030111FAVSHY19,v-000137,,
ROJA030506MJYMAF63,v-000138,,
BACO000529MBIRQN41,v-000138,,
NUCJ610228MGFNKX87,v-000139,,
GOCM020630FJCZUZ45,v-000139,,
RAFO040318MHUYJN98,v-000140,,
GAAF010407MTTCMF32,v-000140,,
BOGG980222FQEJLT19,v-000140,,
HELH040318MOLQPU25,v-000141,,
CRNM000908FBTRZK75,v-000142,,
ANLV011122FMJTAV64,v-000142,,
LLGG050126MMIRCE84,v-000142,,
SACA000305MTWAEU82,v-000143,,
CALF050212MBMVPE42,v-000143,,
SAGJ760327MCHUTO13,v-000144,,
ALGN001005FCFTDP04,v-000144,,
ALSC810128FBLVMK94,v-000144,,
PARE040913FMKNKC93,v-000145,,
TOGP010215MNWHDG72,v-000145,,
ARLM770923FCGLMX89,v-000146,,
SECE840627MTYSZA04,v-000147,,
JIAU050918MQLBDK29,v-000147,,
ANOB010125FMPFXN60,v-000147,,
ORAJ990906MBTZNF35,v-000147,,
GOEM031028MDGHAT68,v-000148,,
DUSE030930MSMYWV86,v-000148,,
CEAO020718MNTTOM11,v-000148,,
GOTM790327FCKNNV80,v-000148,,
FEJM051118FANUVH68,v-000149,,
YAMA060309MMVIHP66,v-000149,,
MESM031014FCWXMC07,v-000149,,
MUMA580301MCTHAY00,v-000150,,
JAAA780516MOOIKV03,v-000150,,
COTS641115FTQQJI61,v-000150,,
LADC050313FCRMAQ48,v-000151,,
HEGY000622MGBCDD60,v-000151,,
RERE810603MSXVOE69,v-000152,,
UCRA990630FODONB68,v-000152,,
DEGE570422FARGDL69,v-000152,,
DIGE820812FGBZJS97,v-000152,,
ESVA010107MNUKBS94,v-000153,,
ORAM040323MQSHNP56,v-000153,,
ANSP030704FCESXF88,v-000154,,
MACM021006FZNEEJ60,v-000154,,
JIIM041121FNUMRM20,v-000155,,
HEBN030819FCWUHD38,v-000155,,
GASO040426FMYSKI13,v-000156,,
VEPS990112FMADSI87,v-000156,,
GUGJ010727MANEUA82,v-000156,,
COSL000629MQRJKG20,v-000157,,
SOGJ031116MTBVEI14,v-000157,,
NACS760602MAADSY47,v-000158,,
ESVA041016MCETYS34,v-000158,,
HEAJ010629FJXOLY21,v-000159,,
MACF031103MNNCFD20,v-000159,,
GASV060826MZCPWQ47,v-000159,,
ZAHT020315FMBGPV95,v-000160,,
ESLM040729FHVCWD72,v-000160,,
CRZJ990406MCSFWY77,v-000161,,
LOPI490417MBOTZN20,v-000161,,
DISA570111FCEDHI78,v-000161,,
MOCJ640225MVFAOL77,v-000161,,
CERM030607FMGCVV56,v-000162,,
VIRL001110FTDYPY73,v-000162,,
CUHG010527MJFIAF84,v-000162,,
PEGS050914FJJTJF96,v-000162,,
MESA030509MQIZPS59,v-000163,,
VACI000323FZPYKE86,v-000163,,
CLSD860401FNLWBP36,v-000163,,
ROLJ010802MCDQSQ77,v-000163,,
ROLM010304FJENBV33,v-000164,,
BEEI030304MCJLHR02,v-000164,,
ZAGC010322FBTSUO60,v-000165,,
WOMM620103MYWFLR54,v-000165,,
RILI050330MJGIXB22,v-000166,,
RELM021018MTNIDI94,v-000166,,
SOVK070316FVTLXB29,v-000166,,
GOBF000418MHTHSB77,v-000167,,
RANL600701FMUPWE96,v-000167,,
LUMM010419MNFYPS00,v-000167,,
JUGR820121FQCRCB70,v-000167,,
PAMD020423MSAGJK80,v-000168,,
LUSC790226MPAYQQ34,v-000169,,
GOAI750208MGRDWD64,v-000169,,
MASJ020904MMZGYC06,v-000169,,
DERL000830MQNCFW65,v-000169,,
SOGM540216FNJRXG13,v-000170,,
GOMG541005FYECAI24,v-000170,,
TRBB040306FTMWTU56,v-000170,,
VEOL861012MSFRKN86,v-000170,,
ENLJ011030MTVUJA18,v-000171,,
OSMM050210FBNKHN90,v-000171,,
ROCJ761115MBAVZX78,v-000172,,
RALF760509MBARAL19,v-000172,,
MOOJ031023FQKEEN45,v-000172,,
JUFA020125FNKTPS34,v-000172,,
ARCJ020113MQYNCB44,v-000173,,
SALM040706FZZLKG13,v-000173,,
MERC880912MGHEXD70,v-000173,,
MESA980421MCEFGF31,v-000174,,
TORA600424MTVTOR56,v-000174,,
LOEN000604FTEPSV72,v-000174,,
VASM021021MSLLUM12,v-000175,,
ROMF540201MAPGCO11,v-000175,,
SAMM560306FQWJGQ52,v-000176,,
ROFM070714FNKZFH88,v-000176,,
KEIR020330MCKQGJ36,v-000176,,
GUDM030802FSTIZB00,v-000177,,
DEAE730616FCCGDJ94,v-000177,,
VALH600106FQTWUF40,v-000178,,
GAPF020705MMDVDK72,v-000178,,
VIBJ040526FBDLFX68,v-000178,,
CAAG030219MBZMJH42,v-000178,,
ROSS061011MCXXND48,v-000179,,
ZUMM770916FTLLDU42,v-000179,,
ORGD010711MBOPSU10,v-000180,,
CASM000708FGGGNE14,v-000180,,
MAVJ000319MPJCNK91,v-000180,,
SARR020329MPUFRA86,v-000181,,
JUMD021016FHBIWE26,v-000181,,
LISD060213MBLXUG05,v-000181,,
CAPM020718FJQJKW91,v-000181,,
ANHM050916FSBPXG37,v-000182,,
CHRI070322FHCOSG44,v-000182,,
OCCB021018FYDZBS52,v-000182,,
GOMJ050418MNGCXF06,v-000182,,
JAJN801104FCVEKJ61,v-000183,,
GOCS860822FCXIVX02,v-000183,,
SAAE050124FZJCAS40,v-000183,,
HUCJ650602FAICCB33,v-000184,,
GOCR030903MSNBKR57,v-000184,,
MALP990504FCWNFJ54,v-000184,,
RACR030315FCMNFV69,v-000185,,
SOVJ790908MMABIP98,v-000185,,
LOLO020810FBRBVU96,v-000186,,
RAVH020517MTJOFZ61,v-000186,,
NAHJ050205MQUDMY40,v-000186,,
NASJ041029MDAJGR97,v-000187,,
ARSC040221FCVDWL39,v-000188,,
ESLE040819MCYIFY47,v-000188,,
PENA040519FNULLR98,v-000188,,
CACJ621111MVECQL89,v-000189,,
GOMC040709FADQOI41,v-000189,,
UCMF040521MMMFUG59,v-000190,,
COLA040905MGNZVB36,v-000190,,
GAMJ841013MTVBNS83,v-000190,,
MAOJ031116MNOKEE14,v-000190,,
FETM000912MGGGXH48,v-000191,,
HECJ610705MZXASU89,v-000192,,
LOCF000718MTRYSW26,v-000192,,
CAMJ990607MVCJLP92,v-000192,,
HEMM000509FCTZBH48,v-000193,,
CRCM840628FYPLVZ45,v-000193,,
MALJ050201MBDFSO13,v-000193,,
OLCL070323FBKWYL31,v-000193,,
JUCE030202MCUYFS34,v-000194,,
RUGM010314MZXDFV06,v-000194,,
BEHM011004FDQBVI08,v-000195,,
IBGM800616FGTLXW58,v-000195,,
ANMC041111FSLPOZ02,v-000196,,
CAAM840109FYRUNI49,v-000196,,
RINJ000118MGWHIW37,v-000197,,
RORA990610MBVEIP15,v-000197,,
HERP020717FOTKQE06,v-000198,,
PECS010913MCWZZT19,v-000198,,
ORLN000312FCUIYQ98,v-000198,,
GACM071010MVZILC74,v-000199,,
CRGC601028MJORFP08,v-000199,,
GATK020104FTYWCA48,v-000200,,
VISA051010MZMZPA79,v-000200,,
LOTC030804FMOACW56,v-000200,,
VIEE051010FJYYUL64,v-000201,,
FUGI640124MBIYFG53,v-000201,,
LOCC061004MNJQLK29,v-000202,,
NIEE041017MZTFVN21,v-000202,,
GONC010111MMFUXC16,v-000202,,
MACA760307FJQOFQ69,v-000203,,
SAAF780623MSMHLH23,v-000203,,
SASM030611MYYNGM78,v-000204,,
MODF000519FCWMMC52,v-000204,,
RAMM980610MSILNI36,v-000205,,
OSVE020819MAILWL42,v-000205,,
URGM040408FZSZCE97,v-000206,,
LOSS021009FNSOIA47,v-000206,,
RIBM841003FZWQRM82,v-000206,,
VAPO030630MYLXLD44,v-000207,,
MALG830907FCQTDZ97,v-000207,,
LALP760701FMNGLO10,v-000208,,
ARGM030828MHQAWS52,v-000208,,
GAHG010206MBRPDT28,v-000208,,
RORF021111MNLUOL13,v-000208,,
MOON041103MCNOZH95,v-000209,,
FLZJ980301MCCKQX07,v-000209,,
REGE851007FCYNJU47,v-000210,,
RICK840829FGHFIU61,v-000210,,
CAVL030928FPTWNT89,v-000211,,
JUBA041006MCKWPK97,v-000211,,
ANCA031006MCRXTI83,v-000212,,
MEHM811104FCDZIJ36,v-000212,,
FLGJ060109MTWSTD95,v-000213,,
GUAA561009MAEPLY93,v-000213,,
AVRF020506MDELCC00,v-000213,,
BEHE010612MNOISB23,v-000214,,
CEHJ051104MPWLUK75,v-000215,,
VILR070207MCKMWR52,v-000215,,
FRMG031119MSVSGB82,v-000215,,
HEAA040829FQTYJM40,v-000216,,
LALW010829MZNZKB76,v-000216,,
HECJ800329MBPDSP94,v-000216,,
CHGE990621FCKYFT83,v-000216,,
NUAE031110MTUXSO01,v-000217,,
ANBM010110FZMJFH96,v-000217,,
ROMJ020515MCHVFP42,v-000217,,
MAHS051009FCTMOH22,v-000217,,
DEPM000906MPLNIE86,v-000218,,
OVCC770428MDEUJD16,v-000218,,
ADGM030701FCBAXT89,v-000218,,
BEDA060418FPGUWF23,v-000219,,
AMAG041019FDMCSC06,v-000219,,
LAME030919MCXAFT27,v-000219,,
HERG990701FNKTDU94,v-000220,,
FEMA030302FCBDQM55,v-000220,,
MARL010718MGKXWT73,v-000221,,
BAMJ770403MPAMMQ20,v-000221,,
ROJF020714MNKSQX86,v-000221,,
MECP651011MZYJUY04,v-000221,,
RONE010626FCGJCG38,v-000222,,
BABR570224FOTENM84,v-000222,,
MARR770218MYWRMK31,v-000222,,
CRVR041026FGCLRP22,v-000223,,
MACG031108MNXGHS77,v-000223,,
ARLK991028MTEVDK84,v-000224,,
DERE010430FBKXNH09,v-000224,,
ROHS050528FVKMAX31,v-000225,,
HEAC040824FMOQQR99,v-000225,,
VICA570517MAEEKL73,v-000226,,
CRFM040416FGEUVN05,v-000226,,
ROLJ760801MNVVPA53,v-000226,,
HELD790414FSHRPZ59,v-000227,,
REGJ010924MCIDGN95,v-000227,,
ALCJ021022MCCSQY58,v-000228,,
HOOJ040421MCFPWV13,v-000229,,
GAVE760809MCPKFP53,v-000229,,
ESAM000610FDBDEF86,v-000229,,
PACM020901FHJSFE52,v-000230,,
RUSD021130FCEZVN72,v-000230,,
SATA040521FJNWOM36,v-000230,,
AVPM010705MVIQFB89,v-000231,,
MAGX770915MZBEJK69,v-000231,,
ESZR021129MMXRTW03,v-000232,,
GORV040420FPWCCF16,v-000232,,
LOSE050610MCKSXV46,v-000232,,
ESCA010524MABULS68,v-000233,,
RUBS070916MDVFTN43,v-000233,,
HELJ731112MZUTRL95,v-000233,,
HIRJ771024MQIPTD07,v-000234,,
CASM070516FYDLTU39,v-000234,,
MEVG710107MDYXCW34,v-000234,,
CHMB600529FCZGXI90,v-000235,,
GAJE780112MNVFPY99,v-000235,,
TECB000215FSBJPZ97,v-000236,,
VAPA030226FCVWBD97,v-000236,,
MAAM040707FNGLDV01,v-000237,,
VIGE050218FAULAU46,v-000238,,
LOLM871028MTWLPP36,v-000238,,
CAIU040330FBTSEA72,v-000239,,
SAMJ030809FCQHGH80,v-000239,,
HEAJ020628MCGYLE96,v-000239,,
LIML040108FZIELN16,v-000240,,
LUVL031011FQALUA55,v-000240,,
CRTH810916MTDGIP05,v-000241,,
GOHH810417MCWLVT42,v-000241,,
HEPJ040808MYTNGG17,v-000242,,
PRAN630116FMILXS56,v-000242,,
LOHM580604MTFDEB68,v-000242,,
ORFP740516MTPZYJ17,v-000242,,
GARA010616MTLVXG30,v-000243,,
GOOI990630FTKLBH53,v-000244,,
ROGY000120FGUTTB58,v-000244,,
ANBL020929MMMYAG34,v-000245,,
MAPM570907MYKOVS37,v-000245,,
COBM020711FVWIPS36,v-000245,,
BEHM070112MACHPK23,v-000245,,
VIMA020921MCKHRS00,v-000246,,
BEZN050526FCOTXZ59,v-000246,,
GOMH030130MPKFRX20,v-000247,,
TOHA800829FMZSSS60,v-000247,,
HEQA010914FMWTBN84,v-000248,,
MEVP061022MMDVAW18,v-000248,,
MIDR751123MNGJRH29,v-000249,,
SABM020903MSFIMC18,v-000249,,
PICH040807MCAGMZ24,v-000250,,
RAMR021030MCZEQS17,v-000250,,
MEDG780718MPQZCF58,v-000251,,
LOHM010104FBTFTO03,v-000251,,
CAVE780312MGUHVD91,v-000252,,
AVFJ031011MSYXUY08,v-000252,,
AMVJ820817MCDDRU92,v-000253,,
HERD010124FCYMBG46,v-000253,,
COHC801112FCDGJW20,v-000254,,
TZGM800924FBGXHH60,v-000254,,
JIGH650806MQYOZL66,v-000254,,
