curp,nombre,a_paterno,a_materno,calle_num,municipio,cp,colonia,estado,tel_casa,tel_celular,email,fotografia,facultad,instituto,unidad,es_alumno,es_academico,es_trabajador
ROTS830928MCSIOQ62,VICTOR MANUEL,ROMANO,TORRES,Margaritas 350 0,Álvaro Obregón,10300,Florida,Cuidad de México,5566201914,5629418922,victortorres83@botanico.unam.mx,proyecto/data/photos/photo_ROTS830928MCSIOQ62.jpg,No aplica,No aplica,Jardín Botánico IB-UNAM,False,False,True
BAOJ020209MSEDEN84,BRUNO,BANDA,ORTIZ,CALLE 2 No 412 DEPTO C303,Venustiano Carranza,15610,CUCHILLA PANTITLAN,Cuidad de México,5650414429,5651515649,brunobanda02@medicina.unam.mx,proyecto/data/photos/photo_BAOJ020209MSEDEN84.png,Facultad de Medicina,No aplica,No aplica,True,False,False
SASH580620MZKZDG42,PEDRO,SANCHEZ,SALAS,"Avd. RENATO LEDUC, 334 Edif. SPAZIO BOSQUES, Casa CASA 5",Coyoacán,47300,BOSQUES DE TETLAMEYA,Cuidad de México,5511159173,5546968659,pedrosanchez58@cepe.unam.mx,proyecto/data/photos/photo_SASH580620MZKZDG42.jpg,No aplica,No aplica,CEPE,False,False,True
GOPJ011123MVEPWK21,OMAR,GOMEZ,PEREZ,Margil 15,Cuauhtémoc,60000,Centro,Cuidad de México,5514483569,5536437642,omarperez01@quimica.unam.mx,proyecto/data/photos/photo_GOPJ011123MVEPWK21.png,Facultad de Química,No aplica,No aplica,True,False,False
FEMG570801MCTYLC47,JOSE GUADALU,FERMIN,MEJIA,Gildardo F Aviles Mz 36 Lt 2,Gustavo A. Madero,70800,Ampl Gabriel Hernandez,Cuidad de México,5535999060,5502078382,josefermin57@archivo.unam.mx,proyecto/data/photos/photo_FEMG570801MCTYLC47.jpg,No aplica,No aplica,Archivo General,False,False,True
LEBL840203MPITNX07,MARIO,LEAL,BALDERAS,Monta#A De Pacaya 28,Tlalpan,14210,Jardines En La Monta#A,Cuidad de México,5631903244,5568658487,mariobalderas84@cepe.unam.mx,proyecto/data/photos/photo_LEBL840203MPITNX07.png,No aplica,No aplica,CEPE,False,False,True
JIRG020223MARFUT68,JUAN MANUEL,JIMENEZ,RAMIREZ,Unicornio 4 Depto 1,Coyoacán,42300,Prado Churubusco,Cuidad de México,5601153894,5538818062,juanramirez02@medicina.unam.mx,proyecto/data/photos/photo_JIRG020223MARFUT68.jpg,Facultad de Medicina,Instituto de Física,No aplica,True,True,False
PERA011007MTLZZZ85,JUAN CARLOS,PEREZ,RINCON,Corregidora 140 I-101,Venustiano Carranza,15290,10 de Mayo,Cuidad de México,5583643450,5528625868,juanperez01@mvz.unam.mx,proyecto/data/photos/photo_PERA011007MTLZZZ85.png,Facultad de Medicina Veterinaria y Zootecnia,No aplica,No aplica,True,False,False
ROGG790109MMPGFI64,MIGUEL ANGEL,RODRIGUEZ,GARCIA,LAGO CHIEM 104 DEPTO I 601,Miguel Hidalgo,11450,AHUEHUETES ANAHUAC,Cuidad de México,5578845280,5535684450,miguelrodriguez79@muac.unam.mx,proyecto/data/photos/photo_ROGG790109MMPGFI64.png,No aplica,No aplica,Museo Universitario de Arte Contemporáneo,False,False,True
TEUF020825MPJOQG38,URIEL,TEC,UITZ,Pirotecnia 48,Venustiano Carranza,15320,Azteca,Cuidad de México,5648024840,5659684876,urieluitz02@derecho.unam.mx,proyecto/data/photos/photo_TEUF020825MPJOQG38.jpg,Facultad de Derecho,Instituto de Biolgía,No aplica,True,True,False
CABR830222MCBTNG41,MARTIN,CANCHE,BETANCOURT,"Cl. ALDANA, 11 Edif. COND 2, Dpto. 402",Azcapotzalco,29500,DEL GAS,Cuidad de México,5537165336,5503763483,martincanche83@deporte.unam.mx,proyecto/data/photos/photo_CABR830222MCBTNG41.png,No aplica,No aplica,Estadio Olímpico,False,False,True
TOPC820530MNSBOC58,GERARDO,TORRES,PEREZ,"Cl. VILLA DOMINICO, MZ-8-B LT-3 SECC-D",Iztapalapa,97000,DESARROLLO URBANO QUETZALCOATL,Cuidad de México,5609840397,5555517848,gerardoperez82@muac.unam.mx,proyecto/data/photos/photo_TOPC820530MNSBOC58.jpg,No aplica,No aplica,Museo Universitario de Arte Contemporáneo,False,False,True
LISG770619MCTHFD24,ADRIAN,LIMA,SANTOS,Prolongacion Reforma 5000 Casa B-4,Cuajimalpa,50000,Zentlapatl,Cuidad de México,5644496633,5561091266,adrianlima77@posgrado.unam.mx,proyecto/data/photos/photo_LISG770619MCTHFD24.jpg,No aplica,No aplica,Unidad de Posgrado,False,False,True
PAFV010502MZMQRJ03,JUAN,PARADA,FLORES,LAGUNA DEL CARMEN 104 DEPTO-201,Miguel Hidalgo,11320,Anahuac,Cuidad de México,5570655211,5590261384,juanparada01@polacas.unam.mx,proyecto/data/photos/photo_PAFV010502MZMQRJ03.png,Facultad de Ciencias Políticas y Sociales,No aplica,No aplica,True,False,False
ENHJ560419MNOPHJ66,HERIBERTO,ENRIQUEZ,HERNANDEZ,Calle 7 162,Coyoacán,48700,Espartaco,Cuidad de México,5556751570,5591957237,heribertoenriquez56@tienda.unam.mx,proyecto/data/photos/photo_ENHJ560419MNOPHJ66.png,No aplica,No aplica,Tienda UNAM,False,False,True
CICA030522MMNKTQ40,JOSE,CIFUENTES,CORTES,Germanio S/n E.3-g D404,Iztapalapa,98300,El Manto,Cuidad de México,5570857228,5695346090,josecifuentes03@quimica.unam.mx,proyecto/data/photos/photo_CICA030522MMNKTQ40.png,Facultad de Química,No aplica,No aplica,True,False,False
RUCE020915MMEYYI48,AURELIO,RUBIO,CARRILLO,MUNICIPIO LIBRE  120  DEPTO G 102,Benito Juárez,33030,PORTALES NORTE,Cuidad de México,5539690439,5514502862,aureliorubio02@quimica.unam.mx,proyecto/data/photos/photo_RUCE020915MMEYYI48.png,Facultad de Química,No aplica,No aplica,True,False,False
LOMA040928MYAJFL29,JERONIMO,LOPEZ,MEAVE,Av.6 Oriente Mz-11 Lt-32,Iztapalapa,92090,Renovacion,Cuidad de México,5560793253,5551346953,jeronimolopez04@odontologia.unam.mx,proyecto/data/photos/photo_LOMA040928MYAJFL29.jpg,Facultad de Odontología,No aplica,No aplica,True,False,False
TERR950818MCOUXU89,PEDRO,TEREZA,REYES,Av Paseo de las Palmas 405 Est 3013 3036,Miguel Hidalgo,11010,Lomas de Chapultepec,Cuidad de México,5650608952,5589612157,pedrotereza95@arquitectura.unam.mx,proyecto/data/photos/photo_TERR950818MCOUXU89.jpg,Facultad de Arquitectura,No aplica,No aplica,True,False,False
NIGR011025MHHZFZ45,ANDRES,NISHIMURA,GONZALEZ,"Ret. RT 16 FRAY SERVANDO TERESA DE MIER, 32 DEPTO. Y EST. 1",Venustiano Carranza,15900,JARDIN BALBUENA,Cuidad de México,5551439368,5540274821,andresgonzalez01@derecho.unam.mx,proyecto/data/photos/photo_NIGR011025MHHZFZ45.jpg,Facultad de Derecho,No aplica,No aplica,True,False,False
MEDP010915MBWQOK69,CLEMENTE,MELLADO,DE LA CRUZ,Av 513 211,Gustavo A. Madero,79200,Unidad San Juan de Aragon,Cuidad de México,5615220770,5536751162,clementede la cruz01@derecho.unam.mx,proyecto/data/photos/photo_MEDP010915MBWQOK69.jpg,Facultad de Derecho,No aplica,No aplica,True,False,False
BALE020526MTKAEB58,ANDRES,BADILLO,LEON,Calle 59 96,Venustiano Carranza,15020,Puebla,Cuidad de México,5652433199,5636961781,andresleon02@filosofia.unam.mx,proyecto/data/photos/photo_BALE020526MTKAEB58.png,Facultad de Filosofía y Letras,No aplica,No aplica,True,False,False
FEGI001001MBYOUV73,JUAN,FERREL,GONZALEZ,Calz. Mex. Xochimilco 35 Casa 1,Tlalpan,14370,Huipulco,Cuidad de México,5633460200,5568932862,juanferrel00@derecho.unam.mx,proyecto/data/photos/photo_FEGI001001MBYOUV73.png,Facultad de Derecho,Instituto de Fisiología Celular,No aplica,True,True,False
TURH030530MCSSUA83,ALVARO,TUFIÑO,RAMOS,Oriente 185 22 0,Gustavo A. Madero,74100,Villa Hermosa,Cuidad de México,5590923387,5507235313,alvarotufiño03@polacas.unam.mx,proyecto/data/photos/photo_TURH030530MCSSUA83.png,Facultad de Ciencias Políticas y Sociales,No aplica,No aplica,True,False,False
HECA040403MTPSRF43,MANUEL JESUS,HERNANDEZ,CONTRERAS,Rublos 10,Gustavo A. Madero,79600,Cerro Prieto,Cuidad de México,5592978513,5608604590,manuelhernandez04@fca.unam.mx,proyecto/data/photos/photo_HECA040403MTPSRF43.png,Facultad de Contaduría y Administración,No aplica,No aplica,True,False,False
PEMJ600106MCIOPR17,NOE,PEREZ,MANUEL,LAZARO CARDENAS N. 640  Depto. 206,Benito Juárez,34000,ALAMOS,Cuidad de México,5547663889,5597436544,noemanuel60@muac.unam.mx,proyecto/data/photos/photo_PEMJ600106MCIOPR17.png,No aplica,No aplica,Museo Universitario de Arte Contemporáneo,False,False,True
VIGO590511MYHMFX35,JORGE VICENTE,VIEYRA,GOMEZ,San Bernardino 33 Int. 5,Coyoacán,46000,Santa Ursula Coapa,Cuidad de México,5658418162,5555379551,jorgevieyra59@dgdc.unam.mx,proyecto/data/photos/photo_VIGO590511MYHMFX35.png,No aplica,No aplica,Universum,False,False,True
LOSJ000905MCMGXJ50,ADAN,LOPEZ,SEGURA,Constancia 101,Cuajimalpa,50500,San Pablo Chimalpa,Cuidad de México,5595704924,5572869551,adansegura00@ingenieria.unam.mx,proyecto/data/photos/photo_LOSJ000905MCMGXJ50.jpg,Facultad de Ingeniería,No aplica,No aplica,True,False,False
CASJ010629MTHCXJ45,ALEJANDRO DE JESUS,CARRILLO,SAAVEDRA,Oriente 2 Mz 98 Lt 725 a,Tláhuac,13020,San Jose,Cuidad de México,5577730294,5567116850,alejandrocarrillo01@ciencias.unam.mx,proyecto/data/photos/photo_CASJ010629MTHCXJ45.jpg,Facultad de Ciencias,No aplica,No aplica,True,False,False
ALRJ610317MNGDSO34,JAVIER,ALAMILLA,REYES,"Cl. NIZAS, MZ-65-C LT-33",Iztapalapa,97000,BUENAVISTA,Cuidad de México,5574557261,5520167489,javierreyes61@posgrado.unam.mx,proyecto/data/photos/photo_ALRJ610317MNGDSO34.png,No aplica,No aplica,Unidad de Posgrado,False,False,True
MANJ040212MDSFND86,JAVIER,MAY,NAVARRO,Av 479 32,Gustavo A. Madero,79100,San Juan Aragon,Cuidad de México,5636572446,5536741264,javiernavarro04@quimica.unam.mx,proyecto/data/photos/photo_MANJ040212MDSFND86.jpg,Facultad de Química,No aplica,No aplica,True,False,False
ARAV031009MMKBHW20,JESUS FRANCISCO,ARREDONDO,APARICIO,Salvador Alvarado 92 Depto 16,Miguel Hidalgo,11800,Escandon,Cuidad de México,5548273216,5556456238,jesusaparicio03@derecho.unam.mx,proyecto/data/photos/photo_ARAV031009MMKBHW20.png,Facultad de Derecho,No aplica,No aplica,True,False,False
BEHL821028MJGBLJ35,VICTOR,BELTRAN,HERNANDEZ,AND 2 LEOPOLDO KIEL NUM 9,Gustavo A. Madero,72100,Cuautepec de Madero,Cuidad de México,5602019379,5511842443,victorbeltran82@muac.unam.mx,proyecto/data/photos/photo_BEHL821028MJGBLJ35.png,No aplica,No aplica,Museo Universitario de Arte Contemporáneo,False,False,True
MAOC030621MCUTBE68,FRANCISCO JAVIER,MARTINEZ,ORTIZ,Cda Fco Saravia Mz 6 Lt 9,Xochimilco,16780,Cerrillos 3ra Secc,Cuidad de México,5564635806,5564729725,franciscomartinez03@ingenieria.unam.mx,proyecto/data/photos/photo_MAOC030621MCUTBE68.png,Facultad de Ingeniería,No aplica,No aplica,True,False,False
JIAI790129MTDKLX57,GUILLERMO ENRIQUE,JIMENEZ,ARAGON,TECORRALES L-18,Iztapalapa,90400,CENTRAL DE ABASTOS,Cuidad de México,5683681713,5656128021,guillermojimenez79@botanico.unam.mx,proyecto/data/photos/photo_JIAI790129MTDKLX57.jpg,No aplica,No aplica,Jardín Botánico IB-UNAM,False,False,True
ALEV020829MPCZLO90,HECTOR,ALANIS,ENRIQUEZ,AVENIDA REVOLUCION N. 439  Depto. 602,Benito Juárez,38000,8 DE AGOSTO,Cuidad de México,5624090714,5662159096,hectorenriquez02@arquitectura.unam.mx,proyecto/data/photos/photo_ALEV020829MPCZLO90.jpg,Facultad de Arquitectura,No aplica,No aplica,True,False,False
DUCJ041018MSKAFY63,JUAN ENRIQUE,DUEÑAS,CABALLERO,Linares 651,Gustavo A. Madero,73000,Lindavista,Cuidad de México,5650009600,5686387583,juandueñas04@quimica.unam.mx,proyecto/data/photos/photo_DUCJ041018MSKAFY63.jpg,Facultad de Química,Instituto de Investigaciones en Matemáticas Aplicadas y Sistemas,No aplica,True,True,False
FUGI030417MQQHBN81,JOSE JAVIER,FUENTES,GLORIA,24 de Abril de 1860 2049-c Mz 177,Iztapalapa,93100,Leyes de Reforma,Cuidad de México,5593885182,5506588401,josegloria03@arquitectura.unam.mx,proyecto/data/photos/photo_FUGI030417MQQHBN81.jpg,Facultad de Arquitectura,No aplica,No aplica,True,False,False
BERT030707MADEEY44,GEOVANNI,BELTRAN,ROMO,V 2a Crescencio Maga/a L 15 Sm 5 Mz 6,Iztapalapa,92000,U. H. Vicente Guerrero,Cuidad de México,5564402957,5659472115,geovanniromo03@fca.unam.mx,proyecto/data/photos/photo_BERT030707MADEEY44.jpg,Facultad de Contaduría y Administración,No aplica,No aplica,True,False,False
VIOH000723MVXREU87,VALENTIN,VILLALOBOS,ORTEGA,Cacaxtla 21,Benito Juárez,36500,Letran Valle,Cuidad de México,5665382240,5579173755,valentinortega00@psicologia.unam.mx,proyecto/data/photos/photo_VIOH000723MVXREU87.png,Facultad de Psicología,No aplica,No aplica,True,False,False
