id_socio,nombre,a_paterno,a_materno,rfc,num_licencia,calle_num,colonia,cp,municipio,estado,celular,email,fotografia,ingreso,egreso,es_chofer,es_duenio
s-11,JUAN CARLOS,GONZALEZ,ROLDAN,GORR760704MLO6,R86903128,Bosques de Ciruelos 162 Est 62,Bosques de las Lomas,11700,Miguel Hidalgo,Cuidad de México,5509457481,juan408@yahoo.com,proyecto/data/photos/photo_GORR760704MLO6.jpg,2011-09-19,No aplica,True,False
s-12,MARIO ALBERTO,RAMOS,DOMINGUEZ,RADJ780120MRF9,No aplica,"BOULEVARD DE LA LUZ, 777 Casa 3",JARDINES DEL PEDREGAL,19000,Álvaro Obregón,Cuidad de México,5696257891,mario111@hotmail.com,proyecto/data/photos/photo_RADJ780120MRF9.png,2018-02-17,No aplica,False,True
s-13,MANUEL,RAMIREZ,MENDOZA,RAMJ820326MIB3,L34403989,Dr Erazo 68 Dpto 205,Doctores,67200,Cuauhtémoc,Cuidad de México,5684475796,manuel335@yahoo.com,proyecto/data/photos/photo_RAMJ820326MIB3.jpg,2019-03-29,No aplica,True,False
s-14,CARLOS MARIO,MAZA,BENITEZ,MABJ750220MCI7,B94319995,"Avd. 2, MZ-20 LT-16",MIGUEL HIDALGO 4A SECCION,14250,Tlalpan,Cuidad de México,5533018648,carlos355@gmail.com,proyecto/data/photos/photo_MABJ750220MCI7.png,2015-03-05,No aplica,True,False
s-15,VICTOR MANUE,ALMARAZ,CHAVEZ,ALCF740606MHF2,C53055372,Queretaro 10,San Sebastian Tecoloxtitla,91200,Iztapalapa,Cuidad de México,5698826708,victor872@outlook.com,proyecto/data/photos/photo_ALCF740606MHF2.png,2016-06-04,No aplica,True,False
s-16,JORGE ALBERTO,ROMERO,URESTI,ROUF750913MDS7,I13752257,Las Huertas 93 Local a,Actipan,32300,Benito Juárez,Cuidad de México,5579196741,jorge723@outlook.com,proyecto/data/photos/photo_ROUF750913MDS7.jpg,2016-10-20,No aplica,True,False
s-17,CARLOS ANDRES,SUAREZ,CASTRO,SUCA840127MXU2,G56898431,Rochester 65 Depto 17,Napoles,38100,Benito Juárez,Cuidad de México,5692724082,carlos458@gmail.com,proyecto/data/photos/photo_SUCA840127MXU2.png,2021-01-13,No aplica,True,True
s-18,ANTONIO,REGALADO,SALCIDO,RESM840116MLA3,K99177397,"Avd. JUAN DE DIOS BATIZ, 523 Dpto. R 102",SAN JOSE TICOMAN,73400,Gustavo A. Madero,Cuidad de México,5642211078,antonio043@gmail.com,proyecto/data/photos/photo_RESM840116MLA3.png,2018-11-28,No aplica,True,True
s-19,ABEL,CAMARENA,CORONA,CACR740215MPM6,Z28168009,ANILLO PERIFERICO S N SECC D MODILO F CASA 102,Cabeza de Juarez Vi,92200,Iztapalapa,Cuidad de México,5538738564,abel886@hotmail.com,proyecto/data/photos/photo_CACR740215MPM6.png,2014-01-19,No aplica,True,False
s-20,JESUS,RAMIREZ,REJON,RARR770221MKM4,No aplica,"Cl. PAULA PIRALDO, S/N Edif. T 106, Dpto. 102",CULHUACAN CTM CROC,44800,Coyoacán,Cuidad de México,5589394107,jesus206@outlook.com,proyecto/data/photos/photo_RARR770221MKM4.jpg,2011-06-22,No aplica,False,True
s-21,EDGAR,LUIS,NAVA,LUNR830625MKS3,L29569130,Lago Patzcuaro 131 Depto 10,Anahuac,11320,Miguel Hidalgo,Cuidad de México,5638667886,edgar037@gmail.com,proyecto/data/photos/photo_LUNR830625MKS3.png,2020-05-09,2021-09-25,True,False
s-22,JORGE,BUENO,SUSANO,BUSM781103MSP0,T23835051,Holbein 277 Local 1,NOCHE BUENA,37200,Benito Juárez,Cuidad de México,5614759605,jorge501@gmail.com,proyecto/data/photos/photo_BUSM781103MSP0.png,2016-06-09,No aplica,True,False
s-23,JUAN CARLOS,GARCIA,OCHOA,GAOM791010MAE6,B25508951,Mexico 15,Hipodromo,61000,Cuauhtémoc,Cuidad de México,5680713410,juan917@yahoo.com,proyecto/data/photos/photo_GAOM791010MAE6.jpg,2017-05-02,No aplica,True,False
s-24,LUIS FERNANDO,LOPEZ,HERNANDEZ,LOHM790505MRS4,No aplica,"Prol. PASEO DE LA REFORMA, 1015 Estac. S5-XIII",SANTA FE CUAJIMALPA,53480,Cuajimalpa,Cuidad de México,5666559401,luis817@gmail.com,proyecto/data/photos/photo_LOHM790505MRS4.png,2021-02-13,No aplica,False,True
s-25,MARCO ANTONIO,LARA,VITE,LAVS820418MKQ6,J81672938,Serafin Olarte 191 Depto B 503,Independencia,36300,Benito Juárez,Cuidad de México,5600434767,marco899@hotmail.com,proyecto/data/photos/photo_LAVS820418MKQ6.png,2012-08-10,No aplica,True,False
s-26,PEDRO,FLORES,GAXIOLA,FLGA770820MOF1,A52544073,Once Mz-61 Lt-82,Renovacion.,92090,Iztapalapa,Cuidad de México,5602671214,pedro912@gmail.com,proyecto/data/photos/photo_FLGA770820MOF1.png,2016-09-27,No aplica,True,False
s-27,MARCO ANTONIO,JACOME,LOPEZ,JALE860401MOR8,G81302486,Malva No 71 Depto 201,C Habitacional la Draga,13280,Tláhuac,Cuidad de México,5634307581,marco422@yahoo.com,proyecto/data/photos/photo_JALE860401MOR8.png,2019-07-16,No aplica,True,False
s-28,HECTOR,CASTANEDA,TENIENTE,CATJ790911MCP9,U42703959,Isabel la Catolica 45 Of. 808,Centro,60000,Cuauhtémoc,Cuidad de México,5697414208,hector770@gmail.com,proyecto/data/photos/photo_CATJ790911MCP9.png,2017-08-08,No aplica,True,False
s-29,CARLOS ALBERTO,ARANDA,CUEVAS,ARCG770507MXV2,P49371124,"Prol. 16 DE SEPTIEMBRE, 39 B 201",TABLAS DE SAN LORENZO,16099,Xochimilco,Cuidad de México,5669800077,carlos456@outlook.com,proyecto/data/photos/photo_ARCG770507MXV2.png,2013-12-30,No aplica,True,True
s-30,RICARDO,VELA,PIÑA,VEPE840828MJW2,M16966705,LUNA 144 DEPTO A 301,Guerrero,63000,Cuauhtémoc,Cuidad de México,5643215876,ricardo264@hotmail.com,proyecto/data/photos/photo_VEPE840828MJW2.png,2021-12-15,2021-12-16,True,True
s-31,LAZARO,ORTIZ,CRUZ,ORCV830604MVQ0,No aplica,"Avd. INSURGENTES NORTE, 1190 Estac. NOROTE 129",CAPULTITLAN,73700,Gustavo A. Madero,Cuidad de México,5544894741,lazaro459@gmail.com,proyecto/data/photos/photo_ORCV830604MVQ0.png,2011-04-03,2016-07-16,False,True
s-32,TOMAS,CRUZ,FERMIN,CRFA770314MSS4,No aplica,AND 4 LA CRUZ L-3,LOMAS CHAMONTOYA,16000,Álvaro Obregón,Cuidad de México,5691941115,tomas905@hotmail.com,proyecto/data/photos/photo_CRFA770314MSS4.jpg,2012-02-12,No aplica,False,True
s-33,ABEL,NAVARRETE,MONTIEL,NAMJ760809MPA9,M87558254,Cinco No.33 Colorines Ii Edif J Dt 301,Agricola Pantitlan,81000,Iztacalco,Cuidad de México,5522172961,abel953@gmail.com,proyecto/data/photos/photo_NAMJ760809MPA9.png,2010-11-27,2013-07-18,True,False
s-34,RAMON,SANTIAGO,VALENZUELA,SAVM760113MJI9,C53533363,"UNIVERSIDAD, 1894 Edif. C, Local c. 9",ROMERO DE TERREROS,43500,Coyoacán,Cuidad de México,5557577260,ramon914@gmail.com,proyecto/data/photos/photo_SAVM760113MJI9.jpg,2020-07-24,No aplica,True,False
s-35,CARLOS ALEJANDRO,SEVERIANO,CEBADA,SECA740927MTO0,No aplica,"Cl. ANTONIO PLAZA, 12 Edif. 9, Sec. MF-1, DEPTO 105",CITLALLI,96600,Iztapalapa,Cuidad de México,5571695600,carlos817@gmail.com,proyecto/data/photos/photo_SECA740927MTO0.jpg,2014-04-09,2016-11-20,False,True
s-36,EMILIO,MONTIEL,SALINAS,MOSD770319MIK0,G20547284,CDA FRAY S T DE MIER NO. 24 LOCAL C-25,Transito,68200,Cuauhtémoc,Cuidad de México,5581598311,emilio221@gmail.com,proyecto/data/photos/photo_MOSD770319MIK0.png,2018-01-29,No aplica,True,False
s-37,FERNANDO,CASTRO,PINEDA,CAPO840111MPH1,W10214162,V.texcoco 1268 Mz-a Cond-3b Ed-7 Dt-101,U.h.solidaridad,91400,Iztapalapa,Cuidad de México,5669059559,fernando306@gmail.com,proyecto/data/photos/photo_CAPO840111MPH1.png,2021-12-20,No aplica,True,False
s-38,SIMON,BUENDIA,GARCIA,BUGJ860613MCS4,No aplica,"Cl. RIO DANUBIO, 94 Dpto. 402",CUAUHTEMOC,65000,Cuauhtémoc,Cuidad de México,5618924280,simon322@yahoo.com,proyecto/data/photos/photo_BUGJ860613MCS4.png,2018-09-03,No aplica,False,True
s-39,YSAIAS,DOMINGUEZ,BARRERA,DOBD800730MMG6,P67783968,HACIENDA SANTA CECILIA S/N,VILLA QUIETUD,49600,Coyoacán,Cuidad de México,5539873163,ysaias193@gmail.com,proyecto/data/photos/photo_DOBD800730MMG6.jpg,2020-09-24,No aplica,True,True
s-40,JOSE ANGEL,SANCHEZ,DELGADILLO,SADR800115MRW6,Z22046713,Gustavo Duran Gonzalez M 8 L 11,Punta de Cehuayo,15400,Álvaro Obregón,Cuidad de México,5531988382,jose810@yahoo.com,proyecto/data/photos/photo_SADR800115MRW6.png,2020-10-16,No aplica,True,False
s-41,CESAR MARTIN,BANDA,CHAVEZ,BACS830616MJO5,I66414298,"Avd. INDUSTRIA, 76 Edif. A, Dpto. A-405",MOCTEZUMA 2A. SECCION,15530,Venustiano Carranza,Cuidad de México,5536585293,cesar171@hotmail.com,proyecto/data/photos/photo_BACS830616MJO5.jpg,2019-06-22,No aplica,True,False
s-42,JULIO CESAR,MEJIA,BARAJAS,MEBJ751107MYX7,X67822255,"Eje 8 SUR AV POPOCATEPETL, 116 Dpto. 306",PORTALES SUR,33000,Benito Juárez,Cuidad de México,5660138287,julio436@hotmail.com,proyecto/data/photos/photo_MEBJ751107MYX7.png,2020-01-14,No aplica,True,False
s-43,ISIDRO,VAZQUEZ,CUEVAS,VACH790611MTA0,W67769323,Edif 56 Ent B Depto 201,Unidad Lindavista Vallejo,77200,Gustavo A. Madero,Cuidad de México,5587551770,isidro065@outlook.com,proyecto/data/photos/photo_VACH790611MTA0.png,2016-04-11,No aplica,True,True
s-44,PABLO,JAIMES,RAMIREZ,JARJ780824MVB9,W38005672,"Cl. ARTEAGA, 33 Edif. A, Dpto. A-102",GUERRERO,63000,Cuauhtémoc,Cuidad de México,5681010124,pablo115@gmail.com,proyecto/data/photos/photo_JARJ780824MVB9.jpg,2015-11-10,No aplica,True,True
s-45,HUMBERTO,BEZARES,BARRERA,BEBG850618MCB3,E06315492,Insurgentes 105 Est. 378,Juarez,66000,Cuauhtémoc,Cuidad de México,5635857888,humberto019@yahoo.com,proyecto/data/photos/photo_BEBG850618MCB3.jpg,2013-08-14,No aplica,True,True
s-46,VALENTE,MORALES,VEGA,MOVL830608MHD0,K80138807,"EJE CENTRAL LAZARO CARDENAS, 777 Dpto. 1",NARVARTE ORIENTE,30230,Benito Juárez,Cuidad de México,5530537247,valente733@hotmail.com,proyecto/data/photos/photo_MOVL830608MHD0.jpg,2017-05-01,2021-09-01,True,False
s-47,JOSE ALBERTO,ALBARRAN,MORENO,ALMG701111MEN3,P50270705,Piedra Barroque@A Lt 2 Mz F,Isidro Fabela,14030,Tlalpan,Cuidad de México,5596197115,jose726@gmail.com,proyecto/data/photos/photo_ALMG701111MEN3.png,2020-09-25,No aplica,True,False
s-48,DIEGO DE JESUS,LINARES,RENDON,LIRA820224MNO8,No aplica,"Cl. LUCIO BLANCO, 66 Edif. A-1, Dpto. 502",LA ERA,97200,Iztapalapa,Cuidad de México,5545070160,diego983@gmail.com,proyecto/data/photos/photo_LIRA820224MNO8.jpg,2010-08-01,No aplica,False,True
s-49,OCTAVIO,GONZALEZ,GARCIA,GOGG780113MUZ0,R24952787,Coru;a 255 a,Viaducto Piedad,82000,Iztacalco,Cuidad de México,5554338011,octavio519@outlook.com,proyecto/data/photos/photo_GOGG780113MUZ0.jpg,2018-09-02,No aplica,True,True
s-50,ANTONIO,ROA,CHAVEZ,ROCF781008MYA2,No aplica,Aragon 241 Depto. 5,Alamos,34000,Benito Juárez,Cuidad de México,5549872755,antonio372@gmail.com,proyecto/data/photos/photo_ROCF781008MYA2.jpg,2016-06-08,No aplica,False,True
s-51,LUIS,LEON,LUNA,LELR710604MQX3,L47401297,AHUEJOTE 533,Pedregal de Sto Domingo,43600,Coyoacán,Cuidad de México,5583432314,luis334@gmail.com,proyecto/data/photos/photo_LELR710604MQX3.jpg,2013-06-03,No aplica,True,False
s-52,JESUS RICARDO,GONZALEZ,QUILES,GOQC770420MPC7,F97659968,Playa Tecolutla 557,R. Iztaccihuatl,88400,Iztacalco,Cuidad de México,5522153773,jesus359@gmail.com,proyecto/data/photos/photo_GOQC770420MPC7.png,2021-10-04,No aplica,True,False
s-53,ALFONSO,VALENCIA,SANTIZ,VASG760230MJH7,F43083406,"Cl. CUITLAHUAC, 116 Edif. 1 CONDO B, Dpto. 02",LORENZO BOTURINI,15820,Venustiano Carranza,Cuidad de México,5552870113,alfonso780@gmail.com,proyecto/data/photos/photo_VASG760230MJH7.jpg,2011-04-30,No aplica,True,False
s-54,MIGUEL ANGEL,GUTIERREZ,ESQUIVEL,GUEV800423MBD5,S22435066,"Avd. MINAS, 69",ARVIDE,12800,Álvaro Obregón,Cuidad de México,5562728580,miguel415@gmail.com,proyecto/data/photos/photo_GUEV800423MBD5.png,2011-04-30,No aplica,True,False
s-55,ARMANDO,PEREZ,RODRIGUEZ,PERJ780201MWQ5,A57765941,Aquiles Serdan Z 02 Mza 28 Lt 15,Sta Ma Aztahuacan,95000,Iztapalapa,Cuidad de México,5637157813,armando053@outlook.com,proyecto/data/photos/photo_PERJ780201MWQ5.jpg,2013-12-14,No aplica,True,False
s-56,ALEJANDRO,MARTINEZ,LARA,MALA790305MOS5,V94884967,BENITO JUAREZ N. 92  Depto. E 201,ALBERT,35600,Benito Juárez,Cuidad de México,5524998573,alejandro226@gmail.com,proyecto/data/photos/photo_MALA790305MOS5.png,2015-05-12,No aplica,True,False
s-57,J. RUBEN,RAMIREZ,CHAVEZ,RACE800926MLG6,F70786499,"Cl. MIGUEL ANGEL, 82 Dpto. 308",SANTA MARIA NONOALCO,37000,Benito Juárez,Cuidad de México,5630641479,j.531@outlook.com,proyecto/data/photos/photo_RACE800926MLG6.png,2012-01-29,No aplica,True,False
s-58,OSCAR NOEL,ESTRADA,UH,ESUA770407MMG6,No aplica,"Cl. LOS PINOS, 1",MIRADOR DEL VALLE,14658,Tlalpan,Cuidad de México,5547753056,oscar421@yahoo.com,proyecto/data/photos/photo_ESUA770407MMG6.png,2020-11-03,No aplica,False,True
s-59,EULOGIO,MONTIEL,DELGADO,MODR851029MZD0,E55947887,Cuitlahuac Num. 30,Sta Isabel Tola,70100,Gustavo A. Madero,Cuidad de México,5632830414,eulogio344@gmail.com,proyecto/data/photos/photo_MODR851029MZD0.jpg,2019-06-30,No aplica,True,False
s-60,ELIAS,MARTINEZ,JARQUIN,MAJR701007MZG9,No aplica,Panaderos 32 34 y 36 Depto a 302,Morelos,15270,Venustiano Carranza,Cuidad de México,5570763554,elias322@gmail.com,proyecto/data/photos/photo_MAJR701007MZG9.png,2020-06-26,No aplica,False,True
s-61,JOSE JAIME,MARTIN,OJEDA,MAOP781021MYM1,V34471023,And Hualquila Mz 6 Lt 140-A,Bo Sta Barbara,90000,Iztapalapa,Cuidad de México,5625115203,jose934@outlook.com,proyecto/data/photos/photo_MAOP781021MYM1.png,2018-05-03,2021-01-17,True,False
s-62,FRANCISCO JAVIER,LOPEZ,JACOME,LOJE830613MCM9,V00572603,Calle 4 Num 285 Cond I Edif E Depto E-302,Pantitlan,81000,Iztacalco,Cuidad de México,5633055452,francisco815@yahoo.com,proyecto/data/photos/photo_LOJE830613MCM9.jpg,2021-12-16,No aplica,True,False
s-63,JUAN MANUEL,PEREZ,HERNANDEZ,PEHI780730MFX4,N94657343,CDA PRIMAVERA NUM 5,XALPA,96400,Iztapalapa,Cuidad de México,5556203685,juan451@gmail.com,proyecto/data/photos/photo_PEHI780730MFX4.png,2011-11-05,No aplica,True,False
s-64,EFRAIN,ARANDA,REVILLA,ARRH720406MFZ8,B11106764,Nextengo 434 Edif A-6 Depto 101,San Miguel Amantla,27000,Azcapotzalco,Cuidad de México,5500487594,efrain380@hotmail.com,proyecto/data/photos/photo_ARRH720406MFZ8.png,2021-09-07,No aplica,True,False
s-65,JOSE MANUEL,GERARDO,COMONFORT,GECA851119MYJ4,M73249895,Estado de Veracruz Lt 1,Providencia,75500,Gustavo A. Madero,Cuidad de México,5592283750,jose782@gmail.com,proyecto/data/photos/photo_GECA851119MYJ4.png,2018-07-21,No aplica,True,False
s-66,JUAN,PATONI,RODRIGUEZ,PARJ820313MLS0,R81098480,Dr.Erazo 94 Dpto.403,Doctores,67200,Cuauhtémoc,Cuidad de México,5621325318,juan733@gmail.com,proyecto/data/photos/photo_PARJ820313MLS0.jpg,2013-03-29,2020-05-27,True,True
s-67,HECTOR MANU,OJEDA,GARCIA,OJGO810404MPA8,G46085389,Tamagno 224 Depto B 103,Vallejo,78700,Gustavo A. Madero,Cuidad de México,5578120736,hector600@gmail.com,proyecto/data/photos/photo_OJGO810404MPA8.jpg,2013-10-17,No aplica,True,False
s-68,AGUSTIN,SANDOVAL,MENDOZA,SAMJ770704MMA0,X78925498,AV BERNARDO QUINTANA 42 CASA  24,SANTA FE LA LOMA,12100,Álvaro Obregón,Cuidad de México,5556506695,agustin781@hotmail.com,proyecto/data/photos/photo_SAMJ770704MMA0.jpg,2012-04-01,No aplica,True,False
s-69,ABEL,MARTINEZ,LOZANO,MALJ720306MFV5,No aplica,General Julio Garcia 96 Casa 51,Barrio los Reyes,86500,Iztacalco,Cuidad de México,5558828105,abel804@gmail.com,proyecto/data/photos/photo_MALJ720306MFV5.png,2011-02-10,No aplica,False,True
s-70,JAIME,CALDERON,SALGADO,CASJ751113MCO5,W95485107,Aniceto Ortega 1321 Despacho 503,DEL VALLE SUR,31000,Benito Juárez,Cuidad de México,5523647233,jaime005@gmail.com,proyecto/data/photos/photo_CASJ751113MCO5.jpg,2016-03-02,No aplica,True,False
s-71,JOSE ANTONIO,SANCHEZ,LARA,SALJ740929MUB4,Q40547110,Av 11 Num 62 Conj. 5 Casa 26,Sn Nicolas Tolentino,98800,Iztapalapa,Cuidad de México,5597467886,jose405@outlook.com,proyecto/data/photos/photo_SALJ740929MUB4.png,2015-04-21,No aplica,True,False
s-72,RAMON,TREJO,PENALOZA,TRPV820704MSH4,P31031619,GALILEO NUM. 13 DEPTO. 402,POLANCO,11560,Miguel Hidalgo,Cuidad de México,5635039896,ramon636@yahoo.com,proyecto/data/photos/photo_TRPV820704MSH4.png,2020-08-15,No aplica,True,False
s-73,CARLOS DANIEL,MATA,ESCOBAR,MAEL820802MUZ2,V56492281,Rep. de Uruguay 125 Depto. 1-e,Centro,60600,Cuauhtémoc,Cuidad de México,5549112928,carlos910@yahoo.com,proyecto/data/photos/photo_MAEL820802MUZ2.png,2011-02-18,No aplica,True,False
s-74,ALDO,CAMARENA,CARTAS,CACC761122MIJ4,No aplica,BAHIA DE PERULA Num. 80 Departamento 1006,VERONICA ANZURES,11300,Miguel Hidalgo,Cuidad de México,5514980683,aldo909@gmail.com,proyecto/data/photos/photo_CACC761122MIJ4.png,2019-07-26,2021-03-19,False,True
s-75,GUSTAVO,CASTILLO,OCHOA,CAOI790120MMV3,B25157306,Revolucion 67 Ed. a Dpto. 104,Los Olivos,13210,Tláhuac,Cuidad de México,5523416659,gustavo628@outlook.com,proyecto/data/photos/photo_CAOI790120MMV3.jpg,2019-12-03,No aplica,True,True
s-76,JOSE LUIS,NIC,SANCHEZ,NISV871126MBR2,R61717568,"Cl. TECNICOS Y MANUALES, 200 Edif. 51, Dpto. 403",EL VERGEL,98800,Iztapalapa,Cuidad de México,5557579926,jose720@gmail.com,proyecto/data/photos/photo_NISV871126MBR2.jpg,2017-02-16,No aplica,True,False
s-77,LUIS ROBERTO,BONALES,ABUD,BOAJ790602MMK2,B44273808,Carranza Venustiano 25,A#o de Juarez,98590,Iztapalapa,Cuidad de México,5572408173,luis526@gmail.com,proyecto/data/photos/photo_BOAJ790602MMK2.png,2019-09-25,No aplica,True,False
s-78,ENRIQUE,ZURITA,HIGUELDO,ZUHI780613MTG3,X82996762,"Cl. NORMANDIA, 174",ZACAHUITZCO,94400,Iztapalapa,Cuidad de México,5626448864,enrique776@hotmail.com,proyecto/data/photos/photo_ZUHI780613MTG3.jpg,2012-12-31,No aplica,True,True
s-79,LUIS ANTONIO,MAY,DE LA CRUZ,MADT760401MYX4,L47372819,Norte 73 297,Jardin Aspeitia,25300,Azcapotzalco,Cuidad de México,5668826610,luis408@outlook.com,proyecto/data/photos/photo_MADT760401MYX4.jpg,2018-03-26,No aplica,True,False
s-80,MIGUEL ANGEL,MILLAN,ALANIS,MIAH760912MKV4,Q44773965,Periferico Sur 3463 Cto Serv 3,San Jeronimo,10200,Magdalena Contreras,Cuidad de México,5640719484,miguel422@hotmail.com,proyecto/data/photos/photo_MIAH760912MKV4.jpg,2012-10-15,No aplica,True,False
s-81,JUAN LUIS,CABRAL,GALLARDO,CAGS780618MHH0,X11072573,Degollado 165 Depto B 201,Guerrero,63000,Cuauhtémoc,Cuidad de México,5631980698,juan002@yahoo.com,proyecto/data/photos/photo_CAGS780618MHH0.jpg,2016-10-31,No aplica,True,False
s-82,RAMON,BRACHO,SANCHEZ,BRSA800715MWP5,Q98124231,Morelos 95 Edif.g Depto.401,San Andres,22400,Azcapotzalco,Cuidad de México,5520115653,ramon007@gmail.com,proyecto/data/photos/photo_BRSA800715MWP5.jpg,2016-12-08,No aplica,True,True
s-83,MOISES,MEDEL,ZAMORA,MEZJ820912MRE1,I74097392,NICOLAS SAN JUAN S N,DEL VALLE SUR,31000,Benito Juárez,Cuidad de México,5511594759,moises336@hotmail.com,proyecto/data/photos/photo_MEZJ820912MRE1.png,2020-12-17,No aplica,True,False
s-84,ANDRES,ESPARZA,OJEDA,ESOM830102MFB9,G26143340,Sur 27 Casa S. 41 Mz 5,Agricola Oriental,85000,Iztacalco,Cuidad de México,5514038341,andres614@gmail.com,proyecto/data/photos/photo_ESOM830102MFB9.png,2017-02-28,2018-07-13,True,False
s-85,HECTOR,MARTINEZ,TRUJILLO,MATJ850626MTS4,W89708869,Melchor Ocampo 19 Oficina 102,Tizapan,10900,Álvaro Obregón,Cuidad de México,5526962351,hector420@gmail.com,proyecto/data/photos/photo_MATJ850626MTS4.jpg,2019-04-29,No aplica,True,True
s-86,GONZALO,ARROYO,VASQUEZ,ARVS850621MNJ6,K19538837,Observatorio Ote 73,Escandon,11800,Miguel Hidalgo,Cuidad de México,5590889350,gonzalo121@gmail.com,proyecto/data/photos/photo_ARVS850621MNJ6.png,2011-07-06,No aplica,True,False
s-87,CLARO,JUAREZ,ROMAN,JURA810320MDD9,Z55582171,Dr Enrique Gonzalez Martinez 126,Sta Ma La Ribera,64000,Cuauhtémoc,Cuidad de México,5565301734,claro994@gmail.com,proyecto/data/photos/photo_JURA810320MDD9.jpg,2012-03-22,No aplica,True,False
s-88,CARLOS,PEREZ,ARREOLA,PEAR810216MUW3,A09551642,3a Cda Emilio Carranza 31 a 8,Sn Andres Tetepilco,94400,Iztapalapa,Cuidad de México,5543383110,carlos280@yahoo.com,proyecto/data/photos/photo_PEAR810216MUW3.png,2020-02-07,No aplica,True,False
s-89,OSCAR,PATRON,MAYA,PAMS780419MMT6,No aplica,"Cl. SANTA MARIA LA RIBERA, 96 Dpto. A-301",SANTA MARIA LA RIBERA,64000,Cuauhtémoc,Cuidad de México,5640448845,oscar966@gmail.com,proyecto/data/photos/photo_PAMS780419MMT6.jpg,2021-09-27,No aplica,False,True
s-90,FRANCISCO,ZAZUETA,MARTINEZ,ZAMM790307MOE5,Q61243812,MEZTLI NUM. 401-E,SANTA ISABEL TOLA,70100,Gustavo A. Madero,Cuidad de México,5503726222,francisco566@gmail.com,proyecto/data/photos/photo_ZAMM790307MOE5.jpg,2010-11-24,No aplica,True,False
s-91,EPIFANIO,VELASCO,AZAMAR,VEAN840118MZR2,No aplica,Cerro del Vigilante 161,Romero de Terreros,43100,Coyoacán,Cuidad de México,5500327635,epifanio976@yahoo.com,proyecto/data/photos/photo_VEAN840118MZR2.jpg,2011-06-17,No aplica,False,True
